AvatarPieceID,GameObjectName,SpriteNameSuffix,ChildrenPieces,Parents
0,Torso,_Torso,12-13-4-5-8-9-1-2-3-18-19-22-25-28-29,
1,Head,_Head_Fr,,0
2,HeadBack,_Head_Bk,,0
3,HeadSide,_Head_Sd,,0
4,FrontArmL,_Arm,,0
5,FrontArmR,_Arm,,0
6,FrontHandL,_Hand,,
7,FrontHandR,_Hand,,
8,FrontLegL,_LegWhole,10-16,0
9,FrontLegR,_LegWhole,11-17,0
10,FrontFootL,_Foot_Fr,,8
11,FrontFootR,_Foot_Fr,,9
12,BackArmL,_Arm,,0
13,BackArmR,_Arm,,0
14,BackHandL,_Hand_Bk,,
15,BackHandR,_Hand_Bk,,
16,BackFootL,_Foot_Fr,,8
17,BackFootR,_Foot_Fr,,9
18,SideArmL,_Arm,,0
19,SideArmR,_Arm,,0
20,SideHandL,_Hand,,
21,SideHandR,_Hand,,
22,SideLegUpperL,_LegUpper,23,0
23,SideLegLowerL,_LegLower,24,22
24,SideFootL,_Foot_Sd,,23
25,SideLegUpperR,_LegUpper,26,0
26,SideLegLowerR,_LegLower,27,25
27,SideFootR,_Foot_Sd,,26
28,TorsoBack,_Torso_Bk,,0
29,TorsoSide,_Torso_Sd,,0
